Date,Adj Close (^IXIC),Volume (^IXIC)
4/10/2019,7964.240234,1998280000
4/11/2019,7947.359863,1956840000
4/12/2019,7984.160156,1955290000
4/15/2019,7976.009766,1816920000
4/16/2019,8000.22998,2095330000
4/17/2019,7996.080078,2290690000
4/18/2019,7998.060059,2089360000
4/22/2019,8015.27002,1776060000
4/23/2019,8120.819824,2075070000
4/24/2019,8102.009766,2022490000
4/25/2019,8118.680176,2063270000
4/26/2019,8146.399902,1971270000
4/29/2019,8161.850098,1761110000
4/30/2019,8095.390137,2115770000
5/1/2019,8049.640137,2247420000
5/2/2019,8036.77002,2158600000
5/3/2019,8164,2046040000
5/6/2019,8123.290039,1966120000
5/7/2019,7963.759766,2376660000
5/8/2019,7943.319824,2175100000
5/9/2019,7910.589844,2520770000
5/10/2019,7916.939941,2387720000
5/13/2019,7647.02002,2478860000
5/14/2019,7734.490234,2084850000
5/15/2019,7822.149902,2001530000
5/16/2019,7898.049805,2163120000
5/17/2019,7816.279785,2134120000
5/20/2019,7702.379883,2122410000
5/21/2019,7785.720215,1993210000
5/22/2019,7750.839844,1881830000
5/23/2019,7628.279785,2243420000
5/24/2019,7637.009766,1682920000
5/28/2019,7607.350098,2352670000
5/29/2019,7547.310059,2278790000
5/30/2019,7567.720215,1872000000
5/31/2019,7453.149902,2236940000
6/3/2019,7333.02002,2576920000
6/4/2019,7527.120117,2369150000
6/5/2019,7575.47998,2115570000
6/6/2019,7615.549805,2070940000
6/7/2019,7742.100098,2066020000
6/10/2019,7823.169922,2049370000
6/11/2019,7822.569824,2114680000
6/12/2019,7792.720215,1952790000
6/13/2019,7837.129883,1838930000
6/14/2019,7796.660156,1804340000
6/17/2019,7845.02002,1935290000
6/18/2019,7953.879883,2244920000
6/19/2019,7987.319824,2014080000
6/20/2019,8051.339844,2053530000
6/21/2019,8031.709961,2894340000
6/24/2019,8005.700195,2070370000
6/25/2019,7884.720215,2127310000
6/26/2019,7909.970215,2104750000
6/27/2019,7967.759766,2023120000
6/28/2019,8006.240234,4078990000
7/1/2019,8091.160156,2208900000
7/2/2019,8109.089844,1946320000
7/3/2019,8170.22998,1548190000
7/5/2019,8161.790039,149410000
7/8/2019,8098.379883,177320000
7/9/2019,8141.72998,1866770000
7/10/2019,8202.530273,2060510000
7/11/2019,8196.040039,1966970000
7/12/2019,8244.139648,1824870000
7/15/2019,8258.19043,1783980000
7/16/2019,8222.799805,1933960000
7/17/2019,8185.209961,1846960000
7/18/2019,8207.240234,2016310000
7/19/2019,8146.490234,1878730000
7/22/2019,8204.139648,1845770000
7/23/2019,8251.400391,1832220000
7/24/2019,8321.5,1947550000
7/25/2019,8238.540039,2023130000
7/26/2019,8330.209961,1954350000
7/29/2019,8293.330078,1874780000
7/30/2019,8273.610352,1884300000
7/31/2019,8175.419922,2667060000
8/1/2019,8111.120117,2792650000
8/2/2019,8004.069824,2252550000
8/5/2019,7726.040039,2636740000
8/6/2019,7833.27002,2201610000
8/7/2019,7862.830078,2453230000
8/8/2019,8039.160156,2415670000
8/9/2019,7959.140137,2224330000
8/12/2019,7863.410156,2056360000
8/13/2019,8016.359863,2346980000
8/14/2019,7773.939941,2522870000
8/15/2019,7766.620117,2182590000
8/16/2019,7895.990234,1995130000
8/19/2019,8002.810059,1934980000
8/20/2019,7948.560059,1747580000
8/21/2019,8020.209961,1716370000
8/22/2019,7991.390137,1777630000
8/23/2019,7751.77002,2207070000
8/26/2019,7853.740234,1688860000
8/27/2019,7826.950195,1913760000
8/28/2019,7856.879883,1656930000
8/29/2019,7973.390137,1700840000
8/30/2019,7962.879883,1665840000
9/3/2019,7874.160156,1936210000
9/4/2019,7976.879883,1891300000
9/5/2019,8116.830078,2096300000
9/6/2019,8103.069824,1876380000
9/9/2019,8087.439941,2172240000
9/10/2019,8084.160156,2362860000
9/11/2019,8169.680176,2310440000
9/12/2019,8194.469727,2159260000
9/13/2019,8176.709961,1976770000
9/16/2019,8153.540039,1869220000
9/17/2019,8186.02002,1850340000
9/18/2019,8177.390137,2034880000
9/19/2019,8182.879883,1792700000
9/20/2019,8117.669922,3359380000
9/23/2019,8112.459961,1780160000
9/24/2019,7993.629883,2302600000
9/25/2019,8077.379883,2015270000
9/26/2019,8030.660156,1832800000
9/27/2019,7939.629883,2037720000
9/30/2019,7999.339844,1805820000
10/1/2019,7908.680176,2243650000
10/2/2019,7785.25,2495160000
10/3/2019,7872.259766,2141490000
10/4/2019,7982.470215,1736890000
10/7/2019,7956.290039,1739450000
10/8/2019,7823.779785,1933580000
10/9/2019,7903.740234,1553900000
10/10/2019,7950.779785,1778740000
10/11/2019,8057.040039,2176080000
10/14/2019,8048.649902,1419730000
10/15/2019,8148.709961,1836650000
10/16/2019,8124.180176,1886720000
10/17/2019,8156.850098,1861570000
10/18/2019,8089.540039,2012930000
10/21/2019,8162.990234,1752860000
10/22/2019,8104.299805,1847200000
10/23/2019,8119.790039,1805030000
10/24/2019,8185.799805,1882490000
10/25/2019,8243.120117,1894740000
10/28/2019,8325.990234,1956280000
10/29/2019,8276.849609,1834530000
10/30/2019,8303.980469,1928420000
10/31/2019,8292.360352,2258270000
11/1/2019,8386.400391,2057310000
11/4/2019,8433.200195,2149910000
11/5/2019,8434.679688,2316710000
11/6/2019,8410.629883,2332650000
11/7/2019,8434.519531,2393950000
11/8/2019,8475.30957,1974190000
11/11/2019,8464.280273,1715470000
11/12/2019,8486.089844,1987820000
11/13/2019,8482.099609,2173320000
11/14/2019,8479.019531,2106550000
11/15/2019,8540.830078,2188210000
11/18/2019,8549.94043,2047240000
11/19/2019,8570.660156,2075000000
11/20/2019,8526.730469,2596030000
11/21/2019,8506.209961,2056230000
11/22/2019,8519.879883,1877090000
11/25/2019,8632.490234,2256070000
11/26/2019,8647.929688,2434570000
11/27/2019,8705.179688,1744580000
11/29/2019,8665.469727,1099090000
12/2/2019,8567.990234,2225940000
12/3/2019,8520.639648,2308600000
12/4/2019,8566.669922,2150680000
12/5/2019,8570.700195,2123380000
12/6/2019,8656.530273,2053530000
12/9/2019,8621.830078,2088520000
12/10/2019,8616.179688,2053390000
12/11/2019,8654.049805,1937850000
12/12/2019,8717.320313,2388270000
12/13/2019,8734.879883,2188720000
12/16/2019,8814.230469,2346290000
12/17/2019,8823.360352,2374120000
12/18/2019,8827.740234,2727870000
12/19/2019,8887.219727,2415950000
12/20/2019,8924.959961,3825460000
12/23/2019,8945.650391,2025450000
12/24/2019,8952.879883,1014520000
12/26/2019,9022.389648,1634920000
12/27/2019,9006.620117,1832200000
12/30/2019,8945.990234,2042420000
12/31/2019,8972.599609,2182800000
1/2/2020,9092.19043,2848370000
1/3/2020,9020.769531,2567400000
1/6/2020,9071.469727,2788120000
1/7/2020,9068.580078,2352850000
1/8/2020,9129.240234,2464090000
1/9/2020,9203.429688,2534700000
1/10/2020,9178.860352,2378990000
1/13/2020,9273.929688,2530270000
1/14/2020,9251.330078,2542170000
1/15/2020,9258.700195,2435650000
1/16/2020,9357.129883,2301400000
1/17/2020,9388.94043,2522670000
1/21/2020,9370.80957,2684540000
1/22/2020,9383.769531,2449390000
1/23/2020,9402.480469,2460050000
1/24/2020,9314.910156,2611710000
1/27/2020,9139.30957,2583330000
1/28/2020,9269.679688,2157830000
1/29/2020,9275.160156,2223480000
1/30/2020,9298.929688,2333500000
1/31/2020,9150.94043,2685840000
2/3/2020,9273.400391,2420510000
2/4/2020,9467.969727,2445420000
2/5/2020,9508.679688,2462470000
2/6/2020,9572.150391,2267300000
2/7/2020,9520.509766,2238670000
2/10/2020,9628.389648,2179310000
2/11/2020,9638.94043,2423670000
2/12/2020,9725.959961,2355000000
2/13/2020,9711.969727,2239270000
2/14/2020,9731.179688,2222240000
2/18/2020,9732.740234,2273460000
2/19/2020,9817.179688,2462530000
2/20/2020,9750.969727,2735610000
2/21/2020,9576.589844,2743010000
2/24/2020,9221.280273,3177000000
2/25/2020,8965.610352,3583400000
2/26/2020,8980.780273,3567830000
2/27/2020,8566.480469,4536080000
2/28/2020,8567.370117,5301170000
3/2/2020,8952.169922,4232760000
3/3/2020,8684.089844,4336700000
3/4/2020,9018.089844,3602870000
3/5/2020,8738.589844,3748090000
3/6/2020,8575.620117,4279850000
3/9/2020,7950.680176,4530350000
3/10/2020,8344.25,4431930000
3/11/2020,7952.049805,4273890000
3/12/2020,7201.799805,5066530000
3/13/2020,7874.879883,4685890000
3/16/2020,6904.589844,4594360000
3/17/2020,7334.779785,4900000000
3/18/2020,6989.839844,4890820000
3/19/2020,7150.580078,4762170000
3/20/2020,6879.52002,5239940000
3/23/2020,6860.669922,4330610000
3/24/2020,7417.859863,4417380000
3/25/2020,7384.299805,4666440000
3/26/2020,7797.540039,3999850000
3/27/2020,7502.379883,3977010000
3/30/2020,7774.149902,3846900000
3/31/2020,7700.100098,4059700000
4/1/2020,7360.580078,3685510000
4/2/2020,7487.310059,3608190000
4/3/2020,7373.080078,3279100000
4/6/2020,7913.240234,3849100000
4/7/2020,7887.259766,4069410000
4/8/2020,8090.899902,3470730000
4/9/2020,8153.580078,4123670000
4/13/2020,8192.419922,3146860000
4/14/2020,8515.740234,3732820000
4/15/2020,8393.179688,3333750000
4/16/2020,8532.360352,3995870000
4/17/2020,8650.139648,4335020000
4/20/2020,8560.730469,3796950000
4/21/2020,8263.230469,3756290000
4/22/2020,8495.379883,3025060000
4/23/2020,8494.75,3734720000
4/24/2020,8634.519531,3673170000
4/27/2020,8730.160156,3678460000
4/28/2020,8607.730469,3707540000
4/29/2020,8914.709961,4378540000
4/30/2020,8889.549805,4316380000
5/1/2020,8604.950195,3722520000
